地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
永吉路,2020/5/14,4913.9,67.3,73.02,48.71%,住宅大樓(11層含以上有電梯),2,九層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,4房1廳2衛,58,有,,住家用,建物第一次登記後移轉 向政府機關承購之案件。;
永吉路,2020/5/13,4888,77.4,73.02,57.04%,住宅大樓(11層含以上有電梯),2,八層/十四層,房地(土地+建物)+車位,土:1 建:2車:1,4房1廳2衛,58,有,,住家用,向政府機關承購之案件。;
信義路,2023/11/20,4030,86.2,48.22,78.25%,住宅大樓(11層含以上有電梯),36,八層/十二層,房地(土地+建物)+車位,土:5 建:1車:1,3房1廳2衛,80,有,有,商業用,
信義路,2022/10/2,2390,124.1,19.25,56.58%,住宅大樓(11層含以上有電梯),18,二層/十一層,房地(土地+建物)+車位,土:3 建:1車:1,1房2廳2衛,80,有,有,辦公用,車位所在樓層:B1夾層;
基隆路,2020/3/4,1400,50.7,27.61,,辦公商業大樓,27,八層/十七層,房地(土地+建物)+車位,土:2 建:1車:1,,100,有,,商業用,親友、員工或其他特殊關係間之交易。;
基隆路,2020/1/12,1420,57.3,26.35,71.78%,套房(1房(1廳)1衛),27,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,100,有,,商業用,含增建或未登記建物。;
吳興街,2020/1/12,1650,41.9,48.42,83.77%,公寓(5樓含以下無電梯),26,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,4房3廳3衛,100,無,,住家用,含增建或未登記建物。
信義路,2020/6/23,1606,97.9,20.75,54.98%,住宅大樓(11層含以上有電梯),22,七層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,100,有,有,商業用,
信義路,2020/2/8,1220,52.4,23.3,42.78%,住宅大樓(11層含以上有電梯),22,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳1衛,100,有,,住家用,含增建或未登記建物。;
基隆路,2019/4/6,2588,51.7,61.97,,辦公商業大樓,27,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1廳,120,有,,商業用,
基隆路,2022/1/26,1347,89,15.13,62.18%,住宅大樓(11層含以上有電梯),20,六層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,120,有,有,其他,車位所在樓層:地上一
吳興街,2023/1/6,3130,53,59.07,70.23%,華廈(10層含以下有電梯),32,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,120,無,有,住家用,其他增建;
信義路,2021/7/7,1270,65.7,19.33,46.60%,住宅大樓(11層含以上有電梯),24,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,120,有,有,住家用,陽台外推;夾層;其他增建;
忠孝東路,2020/5/21,1635,68.7,30.1,46.69%,華廈(10層含以下有電梯),2,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,135,無,,住家用,
信義路,2022/3/17,3640,93.8,41.46,60.98%,住宅大樓(11層含以上有電梯),24,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳2衛,140,有,有,住家用,陽台外推;
虎林街,2021/11/20,2125,82.4,27.85,66.60%,華廈(10層含以下有電梯),16,二層/八層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,145,有,有,住家用,
和平東路,2020/7/18,4550,87.9,51.76,51.93%,住宅大樓(11層含以上有電梯),8,十層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,150,有,有,辦公用,夾層;其他增建;
虎林街,2021/9/13,2180,84.5,27.84,56.13%,華廈(10層含以下有電梯),15,七層/八層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,150,有,有,住家用,夾層;其他增建;
基隆路,2022/10/9,1460,78.2,20.08,81.47%,住宅大樓(11層含以上有電梯),30,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1廳,150,有,有,商業用,
基隆路,2020/4/13,3000,54.3,56.86,,辦公商業大樓,29,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4房1廳1衛,150,有,,商業用,含增建或未登記建物。房地交易總價3000萬(含車位)拆分土地交易總價 27399398元、建物交易總價 2600602元。
基隆路,2019/6/5,1168,51.2,25.1,82.85%,套房(1房(1廳)1衛),28,十層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,150,有,,辦公用,含增建或未登記建物。
基隆路,2021/2/7,1480,67.2,22.02,41.36%,華廈(10層含以下有電梯),26,六層/十層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,150,有,有,商業用,陽台外推;夾層;其他增建;
基隆路,2022/3/30,1234,79.1,18.69,53.85%,住宅大樓(11層含以上有電梯),25,八層/十三層,房地(土地+建物)+車位,土:1 建:2車:1,2房1廳1衛,150,有,有,商業用,夾層;其他增建;
基隆路,2023/5/10,2398,113.1,23.33,63.58%,住宅大樓(11層含以上有電梯),17,六層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,150,有,有,辦公用,車位編號:37號 其他增建:內梯夾層;其他增建;
基隆路,2021/11/7,2100,124.1,19.16,62.36%,住宅大樓(11層含以上有電梯),15,十層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,150,有,有,辦公用,夾層;
基隆路,2020/7/27,1340,116.1,13.7,61.35%,住宅大樓(11層含以上有電梯),14,十二層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,150,有,有,辦公用,夾層;其他增建;
嘉興街,2019/8/27,1170,68,19.07,83.84%,套房(1房(1廳)1衛),27,六層/七層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,150,無,,住家用,含增建或未登記建物。
松德路,2022/10/13,3150,90.5,34.81,87.66%,住宅大樓(11層含以上有電梯),32,"一層,二層/十二層",房地(土地+建物)+車位,土:2 建:1車:1,,150,有,有,住商用,含租約;
松德路,2022/7/9,2200,81,31.52,94.38%,住宅大樓(11層含以上有電梯),30,九層/十二層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳,150,有,有,商業用,
松德路,2022/4/24,3888,79.7,53.12,76.95%,住宅大樓(11層含以上有電梯),30,九層/十二層,房地(土地+建物)+車位,土:2 建:1車:1,3房1廳,150,有,有,商業用,陽台外推;
松隆路,2023/1/1,3020,67.5,51.71,56.36%,華廈(10層含以下有電梯),22,四層/十層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,150,有,有,其他,陽台外推;其他增建;
松仁路,2022/6/5,1568,94.5,17.21,46.76%,華廈(10層含以下有電梯),8,五層/九層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,150,有,有,住家用,塔式車位無固定使用樓層陽台外推;夾層;其他增建;
信義路,2021/9/27,1360,70.4,19.33,46.60%,住宅大樓(11層含以上有電梯),24,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,150,有,有,住家用,陽台外推;夾層;其他增建;
永吉路,2020/3/31,1790,69.7,25.67,58.43%,華廈(10層含以下有電梯),22,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,150,有,,住家用,含增建或未登記建物。
永吉路,2021/2/9,2004,94,24.94,47.87%,華廈(10層含以下有電梯),3,四層/八層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,150,有,有,住家用,
永吉路,2020/12/18,1980,93.9,24.71,46.69%,華廈(10層含以下有電梯),3,四層/八層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,150,有,有,住家用,
永吉路,2020/11/4,1943,92,24.71,46.69%,華廈(10層含以下有電梯),3,六層/八層,房地(土地+建物)+車位,土:1 建:1車:1,,150,有,有,住家用,
忠孝東路,2021/4/20,1176,87.9,17.95,64.77%,華廈(10層含以下有電梯),22,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,150,有,有,住家用,陽台外推;其他增建;
忠孝東路,2020/12/6,1200,91.7,17.73,65.02%,華廈(10層含以下有電梯),21,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,150,有,有,住家用,
忠孝東路,2019/5/3,1140,83.6,18.13,63.88%,套房(1房(1廳)1衛),20,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,150,有,,住家用,含增建或未登記建物。
忠孝東路,2020/5/30,1650,68.7,30.1,46.69%,華廈(10層含以下有電梯),2,四層/六層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,150,無,有,住家用,
吳興街,2021/4/2,1980,48.4,40.88,64.52%,華廈(10層含以下有電梯),25,"四層,電梯樓梯間/七層",房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,160,有,有,住家用,陽台外推;
吳興街,2021/7/30,2930,65.2,51.26,60.16%,住宅大樓(11層含以上有電梯),14,十三層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳1衛,160,有,有,住家用,
信義路,2019/10/26,1500,86.3,20.47,56.86%,套房(1房(1廳)1衛),13,十六層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,160,有,,住家用,
永吉路,2022/5/19,1740,81,21.49,42.18%,華廈(10層含以下有電梯),15,五層/十層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,160,有,有,住家用,
永吉路,2021/12/16,3928,78.7,52.59,50.73%,華廈(10層含以下有電梯),10,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,160,有,有,住家用,陽台外推;其他增建;
永吉路,2021/10/29,1600,82.6,20.36,47.86%,華廈(10層含以下有電梯),4,四層/八層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,160,有,有,住家用,
永吉路,2021/10/29,1565,83.5,19.74,40.73%,華廈(10層含以下有電梯),4,七層/八層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,160,有,有,住家用,
忠孝東路,2019/10/15,2388,86.1,33.8,48.50%,華廈(10層含以下有電梯),10,七層/七層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,160,有,,住家用,含增建或未登記建物。;
虎林街,2023/5/23,3350,85.5,42.43,58.74%,華廈(10層含以下有電梯),20,六層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,170,有,有,住家用,陽台外推;其他增建;
基隆路,2022/3/23,1438,124.2,13.66,63.12%,住宅大樓(11層含以上有電梯),16,八層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,170,有,有,辦公用,
基隆路,2020/12/11,3470,71.5,48.53,57.65%,華廈(10層含以下有電梯),14,三層/七層,房地(土地+建物)+車位,土:4 建:1車:1,3房2廳2衛,170,有,有,住家用,陽台外推;其他增建;
