,地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
0,0,2020/5/14,4913.9,67.3,73.02,48.71%,住宅大樓(11層含以上有電梯),2~5,九層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,0,58,有,,0,建物第一次登記後移轉 向政府機關承購之案件。;
1,0,2020/5/13,4888.0,77.4,73.02,57.04%,住宅大樓(11層含以上有電梯),2~5,八層/十四層,房地(土地+建物)+車位,土:1 建:2車:1,0,58,有,,0,向政府機關承購之案件。;
2,1,2023/11/20,4030.0,86.2,48.22,78.25%,住宅大樓(11層含以上有電梯),20+,八層/十二層,房地(土地+建物)+車位,土:5 建:1車:1,1,80,有,有,1,
3,1,2022/10/2,2390.0,124.1,19.25,56.58%,住宅大樓(11層含以上有電梯),11~20,二層/十一層,房地(土地+建物)+車位,土:3 建:1車:1,2,80,有,有,2,車位所在樓層:B1夾層;
4,2,2020/3/4,1400.0,50.7,27.61,,辦公商業大樓,20+,八層/十七層,房地(土地+建物)+車位,土:2 建:1車:1,,100,有,,1,親友、員工或其他特殊關係間之交易。;
5,2,2020/1/12,1420.0,57.3,26.35,71.78%,套房(1房(1廳)1衛),20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,100,有,,1,含增建或未登記建物。;
6,3,2020/1/12,1650.0,41.9,48.42,83.77%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,5,100,無,,0,含增建或未登記建物。
7,1,2020/6/23,1606.0,97.9,20.75,54.98%,住宅大樓(11層含以上有電梯),20+,七層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,4,100,有,有,1,
8,1,2020/2/8,1220.0,52.4,23.3,42.78%,住宅大樓(11層含以上有電梯),20+,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,6,100,有,,0,含增建或未登記建物。;
9,2,2019/4/6,2588.0,51.7,61.97,,辦公商業大樓,20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,7,120,有,,1,
10,2,2022/1/26,1347.0,89.0,15.13,62.18%,住宅大樓(11層含以上有電梯),11~20,六層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,4,120,有,有,3,車位所在樓層:地上一
11,3,2023/1/6,3130.0,53.0,59.07,70.23%,華廈(10層含以下有電梯),20+,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,8,120,無,有,0,其他增建;
12,1,2021/7/7,1270.0,65.7,19.33,46.60%,住宅大樓(11層含以上有電梯),20+,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,120,有,有,0,陽台外推;夾層;其他增建;
13,4,2020/5/21,1635.0,68.7,30.1,46.69%,華廈(10層含以下有電梯),2~5,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,4,135,無,,0,
14,1,2022/3/17,3640.0,93.8,41.46,60.98%,住宅大樓(11層含以上有電梯),20+,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,2,140,有,有,0,陽台外推;
